"q0.025","median","q0.975","observed","fit","cov_nonoise","cov_nonoise_is","cov_nonoise_oos","cov_noise","cov_noise_is","cov_noise_oos","aggr_in_ci"
358.094171049486,402.397233927728,451.505846791502,400.750988812665,400.022172244915,0.808,0.825,0.74,0.984,0.995,0.94,1
510.987891574647,565.162101328488,610.863535898355,572.587973335879,564.998983972978,0.828,0.86,0.7,0.984,1,0.92,1
582.633325905167,623.988192149025,670.363550624995,636.091387264984,624.194463330986,0.792,0.815,0.7,0.996,1,0.98,1
281.453365006348,325.435246827221,371.136464152724,312.366537268007,324.492367869533,0.728,0.775,0.54,0.972,0.995,0.88,1
276.547251539249,321.361276931687,360.280928623312,315.196354506961,319.64021651861,0.852,0.855,0.84,0.988,0.995,0.96,1
507.185256872676,549.921643533063,592.942867186299,547.081752983258,549.936947453361,0.76,0.78,0.68,0.976,0.99,0.92,1
720.00690262396,764.078250720291,812.322635153403,753.715902877237,766.525973056843,0.752,0.765,0.7,0.996,1,0.98,1
549.01615603586,595.046270580686,641.173705299086,603.16621181388,596.394569660688,0.784,0.805,0.7,0.984,0.995,0.94,1
366.489946686554,408.741113467192,451.517920318788,392.551514088627,405.187952790906,0.832,0.855,0.74,0.988,0.995,0.96,1
352.109560607904,402.058720321737,449.725307396039,420.121605797614,399.926471282217,0.792,0.82,0.68,0.972,0.98,0.94,1
996.793870113068,1046.84352806672,1097.18483116636,1034.8339429293,1048.51217603883,0.752,0.765,0.7,0.98,0.99,0.94,1
450.597897352537,496.303341512969,546.343259736711,489.123460387393,497.533208936067,0.832,0.855,0.74,0.976,0.99,0.92,1
92.5131218979723,135.903255265306,186.827496616431,132.410030794133,137.618448861349,0.804,0.805,0.8,0.992,0.995,0.98,1
551.960881167779,601.537703227252,653.709639278516,589.824777714452,598.050649300444,0.736,0.755,0.66,0.98,0.995,0.92,1
497.525579818912,546.080049092579,596.952108002476,550.897567670552,547.492506729001,0.788,0.8,0.74,0.992,0.995,0.98,1
456.258015160743,499.313580112566,545.046549599033,501.367400116325,496.975750358487,0.824,0.835,0.78,0.98,0.985,0.96,1
299.993648741429,344.215082042129,389.295658575439,345.605705413513,342.461085700788,0.816,0.83,0.76,0.992,0.995,0.98,1
459.91518640259,502.932968882556,545.96544767434,503.608988775739,501.632043278917,0.728,0.76,0.6,0.968,0.99,0.88,1
492.825871361996,541.008188693051,592.52068061081,542.126602652202,545.832236964808,0.824,0.815,0.86,0.996,1,0.98,1
267.99424027332,317.55985216183,366.536117283217,309.010456176264,318.045807087624,0.748,0.77,0.66,0.98,0.985,0.96,1
590.180999749005,638.917840228091,686.016728966633,626.933555557043,641.431422979054,0.824,0.835,0.78,0.976,0.99,0.92,1
182.023826745427,241.975711158474,299.681805064141,246.664046070819,239.454475844512,0.736,0.75,0.68,0.996,0.995,1,1
417.254739854417,464.556938966534,511.449046344048,465.194513893588,466.989396386541,0.828,0.855,0.72,0.972,0.995,0.88,1
