"coord_id","short_name","tech_typ","lon","lat","tooltip_text","sampled","sampled_label","tech_label"
1,"Rampion","offshore",-0.180003258515082,50.6399936074816,"Site: Rampion<br>Type: offshore<br>coord id: 1",TRUE,"training","Offshore"
2,"Goole Fields  Farm","onshore",-0.889282907791799,53.6659258801207,"Site: Goole Fields  Farm<br>Type: onshore<br>coord id: 2",TRUE,"training","Onshore"
3,"Viking Energy  -","onshore",-1.20842859197601,60.3393253898048,"Site: Viking Energy  -<br>Type: onshore<br>coord id: 3",TRUE,"training","Onshore"
4,"Hywind Generator","offshore",-1.44257536137959,57.5074630000273,"Site: Hywind Generator<br>Type: offshore<br>coord id: 4",TRUE,"training","Offshore"
5,"Kincardine","offshore",-1.87380104832222,56.9972803921257,"Site: Kincardine<br>Type: offshore<br>coord id: 5",TRUE,"training","Offshore"
6,"Seagreen1","offshore",-1.92662073376867,56.6355123311335,"Site: Seagreen1<br>Type: offshore<br>coord id: 6",TRUE,"training","Offshore"
7,"ABRBO-","offshore",-2.07281224201906,57.1461996755444,"Site: ABRBO-<br>Type: offshore<br>coord id: 7",TRUE,"training","Offshore"
8,"Tullo","onshore",-2.21075835661103,56.9639098052624,"Site: Tullo<br>Type: onshore<br>coord id: 8",TRUE,"training","Onshore"
9,"Neart Na Gaiothe","offshore",-2.25000117152584,56.2699998023744,"Site: Neart Na Gaiothe<br>Type: offshore<br>coord id: 9",FALSE,"validation","Offshore"
10,"Tullo Extension","onshore",-2.39569780246938,56.8363902628229,"Site: Tullo Extension<br>Type: onshore<br>coord id: 10",FALSE,"validation","Onshore"
11,"AIKENGALL2A-W","onshore",-2.45259026075035,55.8934163768904,"Site: AIKENGALL2A-W<br>Type: onshore<br>coord id: 11",TRUE,"training","Onshore"
12,"Gordonstown","onshore",-2.48276069357478,57.4619210723246,"Site: Gordonstown<br>Type: onshore<br>coord id: 12",TRUE,"training","Onshore"
13,"STAT P3 North Scotland","onshore",-2.48616381849831,56.9687747732368,"Site: STAT P3 North Scotland<br>Type: onshore<br>coord id: 13",TRUE,"training","Onshore"
14,"AIKENGALL II","onshore",-2.49006628770409,55.917208733816,"Site: AIKENGALL II<br>Type: onshore<br>coord id: 14",FALSE,"validation","Onshore"
15,"Crystal Rig II","onshore",-2.52931137353881,55.8994806829666,"Site: Crystal Rig II<br>Type: onshore<br>coord id: 15",TRUE,"training","Onshore"
16,"Glens of Foudland","onshore",-2.63607456316225,57.4253453254024,"Site: Glens of Foudland<br>Type: onshore<br>coord id: 16",TRUE,"training","Onshore"
17,"Fallago Rig  Farm","onshore",-2.68802768758759,55.8313075314364,"Site: Fallago Rig  Farm<br>Type: onshore<br>coord id: 17",FALSE,"validation","Onshore"
18,"Pines Burn  Farm","onshore",-2.73026774489616,55.3537430769384,"Site: Pines Burn  Farm<br>Type: onshore<br>coord id: 18",TRUE,"training","Onshore"
