"era5lon","era5lat","tech_typ"
1.5,54,"Wind Offshore"
-3.25,53.5,"Wind Offshore"
-3.25,57.5,"Wind Onshore"
1.75,56,"Wind Offshore"
1.25,51.75,"Wind Offshore"
-3.5,57.5,"Wind Onshore"
2,52,"Wind Offshore"
-2.75,55.75,"Wind Onshore"
-4,55,"Wind Onshore"
-5.25,56.25,"Wind Onshore"
-3.25,58.25,"Wind Onshore"
1.75,51.5,"Wind Offshore"
-2.75,57.5,"Wind Onshore"
-4.25,57.25,"Wind Onshore"
-3.75,54.75,"Wind Offshore"
-4,55.75,"Wind Onshore"
-2.75,57.25,"Wind Onshore"
-3.5,55.5,"Wind Onshore"
1.5,53.75,"Wind Offshore"
-4.25,55.25,"Wind Onshore"
-3.75,54,"Wind Offshore"
-4,55.5,"Wind Onshore"
-4,56,"Wind Onshore"
-4.75,57.75,"Wind Onshore"
-3.25,58.5,"Wind Onshore"
0.5,53.25,"Wind Offshore"
-3.25,55,"Wind Onshore"
-3,58,"Wind Offshore"
-4.25,57.75,"Wind Onshore"
-3.5,58.5,"Wind Onshore"
-2,56.75,"Wind Offshore"
-4.5,57.25,"Wind Onshore"
1.5,51.5,"Wind Offshore"
-3.5,55.75,"Wind Onshore"
-3.25,54,"Wind Offshore"
-3.75,55.75,"Wind Onshore"
-5,54.75,"Wind Onshore"
-3,55.75,"Wind Onshore"
-3,55,"Wind Onshore"
-1,53.75,"Wind Onshore"
-4.75,55.25,"Wind Onshore"
-2.5,56,"Wind Onshore"
1.25,53.25,"Wind Offshore"
-2.75,55.25,"Wind Onshore"
-4,58,"Wind Onshore"
0.5,53,"Wind Offshore"
-2.75,58,"Wind Offshore"
-3.5,55.25,"Wind Onshore"
-3.5,54,"Wind Offshore"
-4,57.25,"Wind Onshore"
-4.5,58.25,"Wind Onshore"
-2.5,57.5,"Wind Onshore"
-6.5,57.5,"Wind Onshore"
-0.25,50.75,"Wind Offshore"
-5,57,"Wind Onshore"
-4.25,55.75,"Wind Onshore"
-3.75,56.5,"Wind Onshore"
-3.75,55.5,"Wind Onshore"
-5.5,55.75,"Wind Onshore"
-4.75,55,"Wind Onshore"
-5.5,55.5,"Wind Onshore"
-3.25,57.25,"Wind Onshore"
-1.25,60.25,"Wind Onshore"
-2.25,57,"Wind Onshore"
-3.25,56.75,"Wind Onshore"
-5,55,"Wind Onshore"
-4,57.5,"Wind Onshore"
-1.5,57.5,"Wind Offshore"
-3.75,53.5,"Wind Offshore"
-4,56.25,"Wind Onshore"
-2,57.25,"Wind Offshore"
-4,55.25,"Wind Onshore"
-4.5,58,"Wind Onshore"
0.75,53.25,"Wind Offshore"
-1.75,57,"Wind Offshore"
-4,58.5,"Wind Onshore"
-3.75,58.5,"Wind Onshore"
2.25,52.25,"Wind Offshore"
-5.75,55.5,"Wind Onshore"
-5,57.25,"Wind Onshore"
-5,56.25,"Wind Onshore"
-3.25,55.25,"Wind Onshore"
-4.75,54.75,"Wind Onshore"
-4.5,55.25,"Wind Onshore"
-3.75,55.25,"Wind Onshore"
-2.25,56.25,"Wind Offshore"
-3.75,51.75,"Wind Onshore"
-3.25,58,"Wind Offshore"
-2.5,56.75,"Wind Onshore"
-2.5,57,"Wind Onshore"
0.5,53.5,"Wind Offshore"
