"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ"
"2__PEDGE003",153874.696,5595.46259167,159470.15859167,50,16345,"Wind Onshore"
"2__PEDGE004",49153.491,2356.20000397,51509.69100397,24.7,15572,"Wind Onshore"
"2__PENEC001",0,5450.13389781,5450.13389781,52.801,332,"Wind Onshore"
"2__PENEC002",0,5413.02311,5413.02311,70.167,227,"Wind Onshore"
"2__PSMAE001",0,19035.98598492,19035.98598492,48.3,2133,"Wind Onshore"
"2__PSTAT001",83871.01,35716.79786907,119587.80786907,44.942,15473,"Wind Onshore"
"2__PSTAT002",72517.425,20823.72023576,93341.14523576,76,7338,"Wind Onshore"
"C__PSMAR001",32452.693,0,32452.693,11.282,16005,"Wind Onshore"
"C__PSTAT011",103808.151,61600.5887283,165408.7397283,39,16007,"Wind Onshore"
"E_ABRTW-1",72563.548,4133.81672466,76697.36472466,36,14098,"Wind Onshore"
"E_AIRSW-1",62159.416,0,62159.416,38,14113,"Wind Onshore"
"E_ASHWW-1",76575.305,23764.19947073,100339.50447073,35,15210,"Wind Onshore"
"E_ASLVW-1",63013.448,11555.33611572,74568.78411572,26,15442,"Wind Onshore"
"E_BABAW-1",71480.999,70699.180573,142180.179573,52.5,14410,"Wind Onshore"
"E_BETHW-1",63563.598,3407.9666628,66971.5646628,29.75,15043,"Wind Onshore"
"E_BLARW-1",89188.089,19239.09579463,108427.18479463,35,15973,"Wind Onshore"
"E_BNWKW-1",61681.133,12151.58367438,73832.71667438,22.5,16245,"Wind Onshore"
"E_BRDUW-1",126276.618,41260.0717936,167536.6897936,74,14696,"Wind Onshore"
"E_BRYBW-1",96215.703,80935.48122787,177151.18422787,88,16264,"Wind Onshore"
"E_BTUIW-2",105983.025,715.3916699,106698.4166699,43.7,15073,"Wind Onshore"
"E_BTUIW-3",124643.213,57858.79206417,182502.00506417,52,15921,"Wind Onshore"
"E_BURBO",241586.754,326.340522,241913.094522,90,15374,"Wind Offshore"
"E_CLDRW-1",75727.187,24399.74537407,100126.93237407,38,15626,"Wind Onshore"
"E_CLFLW-1",13506.44,45.883333,13552.323333,8,13765,"Wind Onshore"
"E_CNCLW-1",73653.31,0,73653.31,30.52,16485,"Wind Onshore"
"E_CRGTW-1",11040.076,315.77138894,11355.84738894,4,16387,"Wind Onshore"
"E_DALSW-1",57206.32,2481.1751622,59687.4951622,30,15306,"Wind Onshore"
"E_GDSTW-1",24937.667,1320.0447224,26257.7117224,13.289,15460,"Wind Onshore"
"E_GFLDW-1",75711.684,0,75711.684,32.8,15787,"Wind Onshore"
"E_GLCHW-1",67357.074,0,67357.074,27.44,14960,"Wind Onshore"
"E_GLOFW-1",46829.811,11789.40295244,58619.21395244,26.7,15157,"Wind Onshore"
"E_GRGRW-1",76422.175,33244.43639867,109666.61139867,36,15955,"Wind Onshore"
"E_HBHDW-1",122214.59,0,122214.59,51.7,16211,"Wind Onshore"
"E_HLGLW-1",46686.835,157.873615,46844.708615,28,15938,"Wind Onshore"
"E_HLTWW-1",104947.739,8670.8581538,113618.5971538,48,15649,"Wind Onshore"
"E_HRHLW-1",65216.762,6536.37932473,71753.14132473,30,14407,"Wind Onshore"
"E_HYWDW-1",79971.169,0,79971.169,30,11261,"Wind Offshore"
"E_KINCW-1",161613.497,0,161613.497,40,15247,"Wind Offshore"
"E_MINSW-1",82440.866,7325.90314568,89766.76914568,38.123,16029,"Wind Onshore"
"E_MOYEW-1",100644.768,31442.34743828,132087.11543828,60,14416,"Wind Onshore"
"E_PIBUW-1",38175.866,0,38175.866,35.674,8580,"Wind Onshore"
"E_SWBKW-1",83657.282,6.633333,83663.915333,32,13633,"Wind Onshore"
"E_TLYMW-1",27856.416,607.23769723,28463.65369723,13.841,14519,"Wind Onshore"
"E_TULWW-1",37434.631,3191.92194523,40626.55294523,17,15042,"Wind Onshore"
"E_TULWW-2",46166.265,9810.79421987,55977.05921987,25,15172,"Wind Onshore"
"T_ABRBO-1",266482.528,534.2833267,267016.8113267,99,14582,"Wind Offshore"
"T_ACHRW-1",104759.036,704.6378637,105463.6738637,42.6,15784,"Wind Onshore"
"T_AFTOW-1",130877.621,1513.07334,132390.69434,50,15741,"Wind Onshore"
"T_AKGLW-2",209439.703,30565.82505929,240005.52805929,63.84,16086,"Wind Onshore"
"T_AKGLW-3",193074.224,76432.32330152,269506.54730152,81,15916,"Wind Onshore"
"T_ANSUW-1",48790.245,0,48790.245,19.36,16499,"Wind Onshore"
"T_ARCHW-1",182868.359,8403.5856864,191271.9446864,100,14304,"Wind Onshore"
"T_BDCHW-1",81329.354,8038.04146497,89367.39546497,27,15633,"Wind Onshore"
"T_BEATO-1",487993.934,3976.6357507,491970.5697507,122,16042,"Wind Offshore"
"T_BEATO-2",475916.843,3541.766199,479458.609199,126,16110,"Wind Offshore"
"T_BEATO-3",658876.897,5874.2333759,664751.1303759,166,16080,"Wind Offshore"
