"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ","cf","cuf","pf"
"2__PEDGE003",153874.696,5595.46259167,159470.15859167,50,16345,"Wind Onshore",0.376567013765678,0.0136933926991006,0.390260406464778
"2__PEDGE004",49153.491,2356.20000397,51509.69100397,24.7,15572,"Wind Onshore",0.255589504051183,0.0122518254188718,0.267841329470055
"2__PENEC001",0,5450.13389781,5450.13389781,52.801,332,"Wind Onshore",0,0.621808903515427,0.621808903515427
"2__PENEC002",0,5413.02311,5413.02311,70.167,227,"Wind Onshore",0,0.679690361113942,0.679690361113942
"2__PSMAE001",0,19035.98598492,19035.98598492,48.3,2133,"Wind Onshore",0,0.369545047021516,0.369545047021516
"2__PSTAT001",83871.01,35716.79786907,119587.80786907,44.942,15473,"Wind Onshore",0.241220907881462,0.102724867729573,0.343945775611035
"2__PSTAT002",72517.425,20823.72023576,93341.14523576,76,7338,"Wind Onshore",0.260064498429229,0.0746787459502804,0.33474324437951
"C__PSMAR001",32452.693,0,32452.693,11.282,16005,"Wind Onshore",0.359450393343996,0,0.359450393343996
"C__PSTAT011",103808.151,61600.5887283,165408.7397283,39,16007,"Wind Onshore",0.332572932034543,0.197351443129208,0.52992437516375
"E_ABRTW-1",72563.548,4133.81672466,76697.36472466,36,14098,"Wind Onshore",0.285948944688766,0.0162900045895399,0.302238949278306
"E_AIRSW-1",62159.416,0,62159.416,38,14113,"Wind Onshore",0.231810969356361,0,0.231810969356361
"E_ASHWW-1",76575.305,23764.19947073,100339.50447073,35,15210,"Wind Onshore",0.287687818164741,0.0892803586765474,0.376968176841289
"E_ASLVW-1",63013.448,11555.33611572,74568.78411572,26,15442,"Wind Onshore",0.313896406404113,0.0575619744140356,0.371458380818148
"E_BABAW-1",71480.999,70699.180573,142180.179573,52.5,14410,"Wind Onshore",0.188971941442781,0.186905074050428,0.375877015493209
"E_BETHW-1",63563.598,3407.9666628,66971.5646628,29.75,15043,"Wind Onshore",0.284064552205247,0.0152301404335024,0.299294692638749
"E_BLARW-1",89188.089,19239.09579463,108427.18479463,35,15973,"Wind Onshore",0.319067315380419,0.0688272023132965,0.387894517693715
"E_BNWKW-1",61681.133,12151.58367438,73832.71667438,22.5,16245,"Wind Onshore",0.3375049170685,0.066490659960357,0.403995577028857
"E_BRDUW-1",126276.618,41260.0717936,167536.6897936,74,14696,"Wind Onshore",0.232232006502965,0.0758803127043211,0.308112319207286
"E_BRYBW-1",96215.703,80935.48122787,177151.18422787,88,16264,"Wind Onshore",0.134451581574476,0.113099038070515,0.247550619644991
"E_BTUIW-2",105983.025,715.3916699,106698.4166699,43.7,15073,"Wind Onshore",0.321799356024935,0.00217216463371774,0.323971520658653
"E_BTUIW-3",124643.213,57858.79206417,182502.00506417,52,15921,"Wind Onshore",0.301109837998193,0.139773767747895,0.440883605746088
"E_BURBO",241586.754,326.340522,241913.094522,90,15374,"Wind Offshore",0.349199592385413,0.000471706231299597,0.349671298616712
"E_CLDRW-1",75727.187,24399.74537407,100126.93237407,38,15626,"Wind Onshore",0.255064726804853,0.0821833562620666,0.33724808306692
"E_CLFLW-1",13506.44,45.883333,13552.323333,8,13765,"Wind Onshore",0.245304031965129,0.000833333327279332,0.246137365292408
"E_CNCLW-1",73653.31,0,73653.31,30.52,16485,"Wind Onshore",0.292784973511405,0,0.292784973511405
"E_CRGTW-1",11040.076,315.77138894,11355.84738894,4,16387,"Wind Onshore",0.336854701897846,0.00963481384451089,0.346489515742357
"E_DALSW-1",57206.32,2481.1751622,59687.4951622,30,15306,"Wind Onshore",0.249167298227275,0.0108069827178884,0.259974280945163
"E_GDSTW-1",24937.667,1320.0447224,26257.7117224,13.289,15460,"Wind Onshore",0.242763855407847,0.0128504060191599,0.255614261427007
"E_GFLDW-1",75711.684,0,75711.684,32.8,15787,"Wind Onshore",0.29242833328441,0,0.29242833328441
"E_GLCHW-1",67357.074,0,67357.074,27.44,14960,"Wind Onshore",0.328168965638203,0,0.328168965638203
"E_GLOFW-1",46829.811,11789.40295244,58619.21395244,26.7,15157,"Wind Onshore",0.2314343874933,0.058263597331402,0.289697984824702
"E_GRGRW-1",76422.175,33244.43639867,109666.61139867,36,15955,"Wind Onshore",0.266103189526098,0.115757639188934,0.381860828715032
"E_HBHDW-1",122214.59,0,122214.59,51.7,16211,"Wind Onshore",0.291643768881053,0,0.291643768881053
"E_HLGLW-1",46686.835,157.873615,46844.708615,28,15938,"Wind Onshore",0.209234152878117,0.000707534620762598,0.20994168749888
"E_HLTWW-1",104947.739,8670.8581538,113618.5971538,48,15649,"Wind Onshore",0.279431430655846,0.0230868270437941,0.30251825769964
"E_HRHLW-1",65216.762,6536.37932473,71753.14132473,30,14407,"Wind Onshore",0.301782753753962,0.0302463123237778,0.33202906607774
"E_HYWDW-1",79971.169,0,79971.169,30,11261,"Wind Offshore",0.47344030429506,0,0.47344030429506
"E_KINCW-1",161613.497,0,161613.497,40,15247,"Wind Offshore",0.529984577293894,0,0.529984577293894
"E_MINSW-1",82440.866,7325.90314568,89766.76914568,38.123,16029,"Wind Onshore",0.269823047345133,0.0239771560784268,0.293800203423559
"E_MOYEW-1",100644.768,31442.34743828,132087.11543828,60,14416,"Wind Onshore",0.232715427302997,0.0727024311835923,0.305417858486589
"E_PIBUW-1",38175.866,0,38175.866,35.674,8580,"Wind Onshore",0.24944786857104,0,0.24944786857104
"E_SWBKW-1",83657.282,6.633333,83663.915333,32,13633,"Wind Onshore",0.383523811706888,3.04102774517714e-05,0.383554221984339
"E_TLYMW-1",27856.416,607.23769723,28463.65369723,13.841,14519,"Wind Onshore",0.277236917367977,0.00604344461576372,0.283280361983741
"E_TULWW-1",37434.631,3191.92194523,40626.55294523,17,15042,"Wind Onshore",0.292785150597934,0.0249647805378665,0.3177499311358
"E_TULWW-2",46166.265,9810.79421987,55977.05921987,25,15172,"Wind Onshore",0.243428763511732,0.0517310530971263,0.295159816608858
"T_ABRBO-1",266482.528,534.2833267,267016.8113267,99,14582,"Wind Offshore",0.369187039784763,0.000740200422410915,0.369927240207174
"T_ACHRW-1",104759.036,704.6378637,105463.6738637,42.6,15784,"Wind Onshore",0.311598112071653,0.00209589393341805,0.313694006005071
"T_AFTOW-1",130877.621,1513.07334,132390.69434,50,15741,"Wind Onshore",0.332577653262182,0.00384492304173814,0.33642257630392
"T_AKGLW-2",209439.703,30565.82505929,240005.52805929,63.84,16086,"Wind Onshore",0.407894703733722,0.0595285324527789,0.467423236186501
"T_AKGLW-3",193074.224,76432.32330152,269506.54730152,81,15916,"Wind Onshore",0.299526563842891,0.118573627751746,0.418100191594637
"T_ANSUW-1",48790.245,0,48790.245,19.36,16499,"Wind Onshore",0.305492124741845,0,0.305492124741845
"T_ARCHW-1",182868.359,8403.5856864,191271.9446864,100,14304,"Wind Onshore",0.255688421420582,0.0117499799865772,0.267438401407159
"T_BDCHW-1",81329.354,8038.04146497,89367.39546497,27,15633,"Wind Onshore",0.38536407551926,0.0380867702223928,0.423450845741653
"T_BEATO-1",487993.934,3976.6357507,491970.5697507,122,16042,"Wind Offshore",0.49868473740039,0.00406375452010195,0.502748491920491
"T_BEATO-2",475916.843,3541.766199,479458.609199,126,16110,"Wind Offshore",0.468915928192092,0.00348966549318672,0.472405593685279
"T_BEATO-3",658876.897,5874.2333759,664751.1303759,166,16080,"Wind Offshore",0.493673872355092,0.00440136169746149,0.498075234052553
"T_BEATO-4",636682.431,6795.17974,643477.61074,165.344,15327,"Wind Offshore",0.50246667595139,0.00536272278015793,0.507829398731548
"T_BEINW-1",247728.479,11316.30835875,259044.78735875,108.8,15157,"Wind Onshore",0.300444173290151,0.0137243764756699,0.314168549765821
"T_BHLAW-1",190602.494,123764.36089257,314366.85489257,108,15161,"Wind Onshore",0.232812862925586,0.15117291795539,0.383985780880976
"T_BLKWW-1",129951.852,3747.58778738,133699.43978738,54.688,13983,"Wind Onshore",0.339875664870496,0.00980142930857444,0.34967709417907
"T_BLLA-1",209980.679,1070.59999667,211051.27899667,118,14472,"Wind Onshore",0.245922786022805,0.00125385314092204,0.247176639163727
"T_BLLA-2",111910.881,4545.14917,116456.03017,55,13409,"Wind Onshore",0.303489192469101,0.012325911823131,0.315815104292232
"T_BOWLW-1",241006.497,5831.694729,246838.191729,90,15354,"Wind Offshore",0.348814636793887,0.00844035536016673,0.357254992154053
"T_BRBEO-1",881144.776,850.70636,881995.48236,257.7,15164,"Wind Offshore",0.450971474522456,0.000435393038697231,0.451406867561153
"T_BROCW-1",27143.737,8390.00129811,35533.73829811,40,7404,"Wind Onshore",0.183304544840627,0.0566585717052269,0.239963116545854
"T_CGTHW-1",126819.62,60651.252740023,187470.872740023,69,15775,"Wind Onshore",0.233022568272124,0.111442619701919,0.344465187974043
"T_CLDCW-1",538494.828,21255.9611491,559750.7891491,200,15900,"Wind Onshore",0.33867599245283,0.0133685290245912,0.352044521477421
"T_CLDNW-1",565110.4,29885.0745947,594995.4745947,200,16043,"Wind Onshore",0.352247335286418,0.0186281085798791,0.370875443866297
"T_CLDSW-1",340979.434,9095.7613566,350075.1953566,126,15134,"Wind Onshore",0.357629970150256,0.00953992099844563,0.367169891148701
"T_COUWW-1",70262.597,178.183334,70440.780334,20.5,16200,"Wind Onshore",0.423141204456489,0.00107307036434809,0.424214274820837
"T_CRDEW-1",47760.137,19037.57099221,66797.70799221,24,15764,"Wind Onshore",0.252474715596718,0.10063843246326,0.353113148059978
"T_CRDEW-2",44724.391,18956.990090786,63681.381090786,24,15514,"Wind Onshore",0.240236727042241,0.101827328492469,0.342064055534711
"T_CREAW-1",153825.989,50514.34654844,204340.33554844,93,15025,"Wind Onshore",0.220172098831696,0.0723014997204516,0.292473598552148
