job-ID,prior,name,user,state,submit/start,at,queue,jclass,slots,ja-task-ID
------------------------------------------------------------------------------------------------------------------------------------------------
54199996,0.50714,IAMRex_Wav,dingram,qw,02/08/2026,21:46:02,64
54267954,0.47942,tag.sh,s2189251,qw,02/17/2026,19:27:00,1
54267956,0.47538,tag.sh,s2189251,qw,02/17/2026,19:28:18,1
54492767,0.43689,imex_ensem,s2328627,qw,03/08/2026,19:12:01,32
56029454,0.22094,_3x3_more_,s1931382,qw,06/05/2026,12:41:41,1
56030524,0.21680,_3x3_more_,s1931382,qw,06/05/2026,15:07:13,1
56172692,0.19171,Test_IGMM,s2741089,qw,06/17/2026,16:29:17,1
56800560,0.13884,orca_cb_Ph,esolelm,qw,07/09/2026,23:43:26,8
56942105,0.12858,aspect_run,ddekler,qw,07/16/2026,13:41:18,64
56976090,0.10707,Experiment,s2060501,qw,07/20/2026,14:19:32,10,95-120:1
56976092,0.10704,Experiment,s2060501,qw,07/20/2026,14:19:44,10,1-60:1
57312851,0.08883,station,s2463047,qw,07/31/2026,18:40:01,32
57375277,0.08074,test_run,c,s2737225,qw,08/02/2026,20:03:52,1
57382255,0.07555,test_run,c,s2737225,qw,08/03/2026,12:06:35,1
57450308,0.07311,pe20_16G_9,ddunica2,qw,08/05/2026,07:29:50,20
57556682,0.07001,RETFound_t,s2633613,qw,08/07/2026,06:47:20,1
57515523,0.06651,Experiment,s2060501,qw,08/06/2026,11:46:27,10,1-60:1
57562825,0.00000,step7_gate,s2116644,qw,08/08/2026,17:43:52,8,2728-2772:1
57582782,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:28,1,1-10000:1
57582784,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:31,1,1-10000:1
57582786,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:34,1,1-10000:1
57582787,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:37,1,1-10000:1
57582790,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:40,1,1-10000:1
57582792,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:43,1,1-10000:1
57582794,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:46,1,1-10000:1
57582795,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:49,1,1-10000:1
57582797,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:52,1,1-10000:1
57582799,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:54,1,1-10000:1
57582800,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:06:57,1,1-10000:1
57582802,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:00,1,1-10000:1
57582804,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:03,1,1-10000:1
57582806,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:06,1,1-10000:1
57582808,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:09,1,1-10000:1
57582810,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:12,1,1-10000:1
57582811,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:15,1,1-10000:1
57582814,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:18,1,1-10000:1
57582816,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:21,1,1-10000:1
57582817,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:24,1,1-10000:1
57582819,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:27,1,1-10000:1
57582821,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:30,1,1-10000:1
57582823,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:33,1,1-10000:1
57582825,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:36,1,1-10000:1
57582826,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:39,1,1-10000:1
57582828,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:42,1,1-10000:1
57582830,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:45,1,1-10000:1
57582832,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:48,1,1-10000:1
57582834,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:51,1,1-10000:1
57582836,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:54,1,1-10000:1
57582838,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:07:58,1,1-10000:1
57582840,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:08:01,1,1-10000:1
57582842,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:08:04,1,1-10000:1
57582843,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:08:06,1,1-10000:1
57582846,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:08:09,1,1-10000:1
57582847,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:08:13,1,1-10000:1
57582849,0.05782,lw_b13_24h,pminervi,qw,08/09/2026,15:08:16,1,1-752:1
57590381,0.05724,lw_b13_aut,pminervi,qw,08/09/2026,20:51:36,1,1-3968:1
57582780,0.00000,lw_b13_24h,pminervi,qw,08/09/2026,15:06:25,1,4034-10000:1
57602589,0.05598,lw_b14_rec,pminervi,qw,08/10/2026,09:29:08,1,1-320:1
57610058,0.05492,lw_b14_tar,pminervi,qw,08/10/2026,20:05:26,1,1-10000:1
57610059,0.05492,lw_b14_tar,pminervi,qw,08/10/2026,20:05:29,1,1-6904:1
57611850,0.05372,lw_b14_tar,pminervi,qw,08/11/2026,08:09:32,1,1-10000:1
57611851,0.05372,lw_b14_tar,pminervi,qw,08/11/2026,08:09:35,1,1-1208:1
57661285,0.05359,rBergomi_c,s2065217,qw,08/14/2026,17:23:28,16
57622076,0.05251,lw_b14_tar,pminervi,qw,08/11/2026,20:13:49,1,1-9624:1
57623759,0.05130,lw_b14_tar,pminervi,qw,08/12/2026,08:18:19,1,1-56:1
57636694,0.05027,lw_b14_tar,pminervi,qw,08/12/2026,18:38:37,1,1-10000:1
57636695,0.05027,lw_b14_tar,pminervi,qw,08/12/2026,18:38:39,1,1-10000:1
57636696,0.05027,lw_b14_tar,pminervi,qw,08/12/2026,18:38:41,1,1-2536:1
57637900,0.04980,lw_b14_tar,pminervi,qw,08/12/2026,23:21:08,1,1-6024:1
57649824,0.04755,lw_b14_tar,pminervi,qw,08/13/2026,21:47:14,1,1-10000:1
57649826,0.04755,lw_b14_tar,pminervi,qw,08/13/2026,21:47:16,1,1-10000:1
57649827,0.04755,lw_b14_tar,pminervi,qw,08/13/2026,21:47:18,1,1-4920:1
57697450,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:42,1,1-10000:1
57697451,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:45,1,1-10000:1
57697452,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:48,1,1-10000:1
57697453,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:51,1,1-10000:1
57697454,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:54,1,1-10000:1
57697455,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:56,1,1-10000:1
57697456,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:49:59,1,1-10000:1
57697457,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:50:02,1,1-10000:1
57697458,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:50:05,1,1-10000:1
57697459,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:50:08,1,1-10000:1
57697460,0.04045,lw_b14_tar,pminervi,qw,08/16/2026,20:50:10,1,1-2360:1
57698557,0.03978,lw_b14_tar,pminervi,qw,08/17/2026,03:35:58,1,1-5760:1
57704551,0.03962,Experiment,s2060501,qw,08/17/2026,16:47:43,10,1-60:1
57762985,0.03960,Kirsty_Abu,s1626483,qw,08/20/2026,12:47:53,16
57705668,0.03734,lw_b14_tar,pminervi,qw,08/18/2026,03:59:11,1,1-10000:1
57705669,0.03734,lw_b14_tar,pminervi,qw,08/18/2026,03:59:16,1,1-10000:1
57705670,0.03734,lw_b14_tar,pminervi,qw,08/18/2026,03:59:22,1,1-10000:1
57705671,0.03734,lw_b14_tar,pminervi,qw,08/18/2026,03:59:27,1,1-10000:1
57705672,0.03734,lw_b14_tar,pminervi,qw,08/18/2026,03:59:32,1,1-4448:1
57732978,0.03728,fitv2_deep,vmedina4,qw,08/19/2026,13:55:13,4,2
57706145,0.03702,lw_eff_ben,pminervi,qw,08/18/2026,07:11:01,1
57710305,0.03613,lw_b14_tar,pminervi,qw,08/18/2026,16:05:35,1,1-10000:1
57710306,0.03613,lw_b14_tar,pminervi,qw,08/18/2026,16:05:38,1,1-10000:1
57710307,0.03613,lw_b14_tar,pminervi,qw,08/18/2026,16:05:41,1,1-2880:1
57722335,0.03492,lw_b14_tar,pminervi,qw,08/19/2026,04:12:38,1,1-10000:1
57722336,0.03492,lw_b14_tar,pminervi,qw,08/19/2026,04:12:41,1,1-5592:1
57755001,0.03250,lw_b14_tar,pminervi,qw,08/20/2026,04:25:17,1,1-10000:1
57755002,0.03250,lw_b14_tar,pminervi,qw,08/20/2026,04:25:20,1,1-960:1
57772727,0.03129,lw_b14_tar,pminervi,qw,08/20/2026,16:31:26,1,1-2440:1
57813151,0.03007,lw_b14_tar,pminervi,qw,08/21/2026,04:39:59,1,1-5504:1
57817299,0.02886,lw_b14_tar,pminervi,qw,08/21/2026,16:47:09,1,1-312:1
57819338,0.02765,lw_b14_tar,pminervi,qw,08/22/2026,04:56:32,1,1-1896:1
57821510,0.02643,lw_b14_tar,pminervi,qw,08/22/2026,17:05:48,1,1-5848:1
57825451,0.02389,lw_b14_tar,pminervi,qw,08/23/2026,18:33:03,1,1-3224:1
57828336,0.02267,lw_b14_tar,pminervi,qw,08/24/2026,06:42:29,1,1-4032:1
57848736,0.02146,lw_b14_tar,pminervi,qw,08/24/2026,18:51:39,1,1-1896:1
57961289,0.01974,snakemake,rroehe,qw,08/28/2026,10:56:21,8,12
57861241,0.01900,lw_b14_tar,pminervi,qw,08/25/2026,19:22:42,1,1-6120:1
57872066,0.01752,lw_b14_tar,pminervi,qw,08/26/2026,10:13:01,1,1-3088:1
57949829,0.01630,lw_b14_tar,pminervi,qw,08/26/2026,22:26:48,1,1-2336:1
57951623,0.01508,lw_b14_tar,pminervi,qw,08/27/2026,10:37:20,1,1-3936:1
57952683,0.01500,TRANCEPTIO,blivesey,qw,08/27/2026,16:04:03,1,1227-1464:1
57955814,0.01386,lw_b14_tar,pminervi,qw,08/27/2026,22:49:50,1,1-2256:1
57961393,0.01261,lw_b14_tar,pminervi,qw,08/28/2026,11:20:58,1,1-2160:1
57971819,0.01138,lw_b14_tar,pminervi,qw,08/28/2026,23:41:28,1,1-4432:1
57982761,0.01031,q_30nm-FC-,jross7,qw,08/29/2026,15:01:27,1,773-1600:1
58031387,0.01007,prob,s1687781,qw,09/01/2026,23:06:39,20
58033916,0.00844,YF481,s2590458,qw,09/02/2026,10:17:14,16
58033880,0.00840,plot_cons_,s2559269,qw,09/02/2026,10:11:39,15,1-4:1
58011566,0.00838,real_null_,s2469797,qw,08/30/2026,12:51:33,8,16-1000:1
58033989,0.00835,YF409-3,sgao4,qw,09/02/2026,10:37:09,16
58010082,0.00823,UK_1km_Imp,lsmallma,qw,08/30/2026,09:15:28,3,24933-25773:1
58012656,0.00747,lw_b14_tar,pminervi,qw,08/30/2026,14:47:52,1,1-9152:1
58012660,0.00746,lw_b14_tar,pminervi,qw,08/30/2026,14:49:47,1,1-10000:1
58012661,0.00746,lw_b14_tar,pminervi,qw,08/30/2026,14:49:50,1,1-10000:1
58012662,0.00746,lw_b14_tar,pminervi,qw,08/30/2026,14:49:52,1,1-10000:1
