"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"high","Generic PC",0.228398936068033,0.18750544205637,75.7906639723742,28.6726486222962,0.12951774648583
"high","QM",0.189252337416623,0.145300551800514,45.5214577047719,23.265080059469,-0.0501086742503773
"high","GB LM",0.183616223904037,0.151410860988574,54.7119425174389,23.1500410753647,-0.0653524461054913
"high","Linear model",0.157563071190386,0.124919016727356,53.6523149434885,18.0864835889295,-0.0269436687578113
"high","LM bru model",0.155064664773153,0.122363814819818,47.7965903925343,17.1205348795866,-0.0270980131008064
"high","ST model coarser",0.112407398805228,0.085458161152046,26.6374395264155,12.4393984183362,-0.000373354093430178
"mid","Generic PC",0.194849255606003,0.145626538868227,390.350451577003,51.4407893371955,0.101795289440842
"mid","QM",0.141074871923225,0.0992963117632319,181.909740766934,37.7560690797588,-0.0209573012502411
"mid","GB LM",0.136886570049319,0.102295092981024,363.403678271093,33.3359086619686,-0.00953920646784487
"mid","Linear model",0.127570918861239,0.0967950774417765,438.041012209422,34.0359662935912,0.0144118409598611
"mid","LM bru model",0.123997790573919,0.0937217098558283,539.919539615578,33.6171264040505,0.0146945012730073
"mid","ST model coarser",0.0918721854644863,0.0655126897201279,345.148040901346,22.4656828753515,0.000977217237702568
