"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[-76,-12.2]","Generic PC",0.256404110305441,0.161175083578832,765.301286771888,87.7577619822753,0.145988854380276
"[-76,-12.2]","QM",0.158118479197337,0.0943272969298429,344.599738152774,81.8616504190157,0.0506278251141757
"[-76,-12.2]","GB LM",0.125034516974706,0.0809878302990885,1178.78645416846,55.3271215831528,0.0105218837876128
"[-76,-12.2]","Linear model",0.123638188028239,0.0837731826006831,2075.86355319095,71.0384610172493,0.0104893502153325
"[-76,-12.2]","Spatio-temporal model",0.0464373272851151,0.0306508422453662,318.048399066036,24.8021821700972,-0.000238452446347749
"(-12.2,198]","GB LM",0.177734932061865,0.0946498624839539,2590.70208389722,79.2853611998521,-0.0350610154939847
"(-12.2,198]","QM",0.173171865325717,0.0840458607677399,1014.15913696156,93.5835788714558,-0.0523225811778377
"(-12.2,198]","Linear model",0.162242049018384,0.0937453261482089,4940.80519230695,88.776625397351,-0.0184075026931157
"(-12.2,198]","Generic PC",0.152002193246744,0.083357605351991,3184.41420477628,80.5374736395343,-0.00795977198277085
"(-12.2,198]","Spatio-temporal model",0.0755887856749039,0.0311127513247976,689.479441579248,33.1488795703925,-0.00800104541143663
"(198,345]","Generic PC",0.0896369888467403,0.0488305130053668,1409.09917480917,80.4004144205013,0.0324421226192946
"(198,345]","GB LM",0.0729528118068148,0.0454369199512675,1704.63039294513,67.0441755676002,0.0282153857322291
"(198,345]","QM",0.0616417256394608,0.0354128823029718,629.141071376957,89.8610133408705,0.00131092399979983
"(198,345]","Linear model",0.0602877224194255,0.0441139376537167,1512.49298539181,86.1928007237304,0.0120416157754922
"(198,345]","Spatio-temporal model",0.0502886084930445,0.0278185599594988,807.431585167627,57.5742023392055,0.00730260609265493
"(345,725]","GB LM",0.0360773171649813,0.0304141324451112,4849.27518516499,333.945317364278,0.0266386570424882
"(345,725]","Generic PC",0.0303902873147988,0.0186217876923673,1673.09058187962,95.2587755102041,0.0127920819650027
"(345,725]","Linear model",0.0229365948618588,0.0166192882232797,2651.54914033102,159.183247129896,-0.00489322896775723
"(345,725]","Spatio-temporal model",0.0208097541048067,0.0126498941211521,1280.58629063558,103.351376607532,0.000633773750786978
"(345,725]","QM",0.0195980441047865,0.00887428359787244,449.712363319617,100,-0.000162666529456088
