"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.212134855298122,0.112309629763205,2641.72275559895,110.09614455542,0.0918680992765663
"Wind Offshore","QM",0.151591018256798,0.0718137716973316,1494.5424231734,84.398170983546,0.0367894023737783
"Wind Offshore","GB LM",0.12128436756931,0.0725334740452572,1545.39131896366,68.1504084748814,0.0285076128648434
"Wind Offshore","Linear model",0.100495508837333,0.058728601159487,1429.08573088444,71.2700495070494,-5.57688323310562e-15
"Wind Offshore","Spatio-temporal model",0.0396302522883688,0.0225982460765669,455.221751568671,32.0675079372661,-8.24282482781503e-05
"Wind Onshore","Generic PC",0.190578146096531,0.110216348584219,685.657852331508,69.3357902915727,0.0540742079184896
"Wind Onshore","QM",0.154523013679327,0.0879622479119092,343.256533351275,69.737656399977,-0.0118226609485049
"Wind Onshore","GB LM",0.151933122319889,0.0925501064266751,759.604877203491,60.9656090181171,0.021308130875095
"Wind Onshore","Linear model",0.126264527665795,0.0829126927323108,758.898445441185,62.8503077344115,1.0153031780794e-14
"Wind Onshore","Spatio-temporal model",0.0803609642039294,0.0467698697015106,460.79090988107,36.7495101719993,2.63974111309376e-05
