"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,11.6]","Generic PC",0.443289557140802,0.368067542650749,277.397162321996,59.5448165213253,0.353503240368841
"[0.382,11.6]","QM",0.331347290484786,0.253192090007331,150.108872850017,37.6467482098065,0.111910818903455
"[0.382,11.6]","GB LM",0.279130436953805,0.222606112147867,188.94849323576,26.1594043631317,0.119820780413362
"[0.382,11.6]","Linear model",0.240076529914011,0.196546894074925,144.914342519241,29.0960062381915,0.00361347591174148
"[0.382,11.6]","AR2 model",0.157179805617508,0.127720177134905,137.095896581752,19.2474813350696,0.00091938648523433
"[0.382,11.6]","AR1 model",0.145327678985345,0.117117387857315,126.084534189633,16.8611605658226,0.000907443854244188
"[0.382,11.6]","Spatio-temporal model",0.132164880644383,0.10224802234671,91.2063527256731,15.9458196668984,0.00113346946799978
"(11.6,20.5]","Generic PC",0.358271166773295,0.288555163100856,95.944582004123,38.3003294058381,0.267953454742794
"(11.6,20.5]","QM",0.271755787090459,0.212947917561779,55.6228246293794,29.4416022234499,0.00926538685115727
"(11.6,20.5]","GB LM",0.233520209501676,0.195472066137723,60.1155129257364,25.3452322150779,0.0193368021494511
"(11.6,20.5]","Linear model",0.232681914907304,0.198505207618013,55.5754732157957,27.1380398245355,-0.023380873754152
"(11.6,20.5]","AR2 model",0.152374073672702,0.118457657358403,33.0041750525811,15.4594030229904,-0.00122056265271926
"(11.6,20.5]","AR1 model",0.141263914724257,0.1094851436268,30.345609812721,14.2470783290596,-0.00112177343347819
"(11.6,20.5]","Spatio-temporal model",0.123816443323769,0.0944183532671782,24.7291885307932,11.93948403394,2.77066800706007e-05
"(20.5,32.4]","Generic PC",0.383697155417728,0.290600261445216,341.402979841302,28.3370040255336,0.268164798582185
"(20.5,32.4]","QM",0.312006781339384,0.225273768295713,63.6691367811368,27.9536561134929,0.0113770686117333
"(20.5,32.4]","GB LM",0.263334605307919,0.200664142792778,253.929850448526,20.4341416005015,0.0411766770963757
"(20.5,32.4]","Linear model",0.25756446877037,0.197576602332648,292.823268746331,19.4929102263761,0.0320004415028158
"(20.5,32.4]","Spatio-temporal model",0.152090737547792,0.107824551020389,95.2992793838691,12.8383012221701,0.00177604908126642
"(20.5,32.4]","AR2 model",0.149190138837271,0.112167213792786,183.557991191313,13.226383290915,0.0027130708601983
"(20.5,32.4]","AR1 model",0.138068873592025,0.10415227035233,167.533589957295,12.1212058026563,0.00246837369160048
"(32.4,212]","QM",0.373055826447522,0.290084899624821,39.9625536914064,31.9646728865528,-0.132318291691708
"(32.4,212]","Generic PC",0.358647976537693,0.24622819762343,39.6192814141126,19.3486064738552,0.182279363057775
"(32.4,212]","GB LM",0.301250818802556,0.231414401031621,31.7540060593537,24.1281516688781,-0.0251721282188948
"(32.4,212]","Linear model",0.250701186981783,0.195268274645818,32.9539679889803,22.3536143483186,-0.0113311593903596
"(32.4,212]","AR2 model",0.153341532441897,0.121659659999901,26.1101988344948,13.9015720642322,-0.00215644721541745
"(32.4,212]","Spatio-temporal model",0.143206789286065,0.104733739645216,21.1573363936945,12.5734474400738,-0.00281768696380605
"(32.4,212]","AR1 model",0.140273046628767,0.111676852404471,23.686153915119,12.2555909537191,-0.00217375997747937
