"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"0","Generic PC",0.401829843126698,0.300444632342503,56.6469380573239,23.049513744114,0.30043621510673
"0","QM",0.308521382965713,0.200339881552208,35.4426661178116,10.4514402288709,0.159719762815963
"0","GB LM",0.268232189153256,0.202497652259544,30.2923043672698,19.315370948946,0.00586448585300193
"0","Linear model",0.223736464416099,0.174118869996082,31.5824842224836,17.5837784138623,0.002896634402433
"0","AR2 model",0.118431247341201,0.0887159079349576,17.5546390660414,9.62823909784279,-0.00051743129789096
"0","AR1 model",0.111566413042175,0.0839599905269693,16.4443427784735,8.5881394859865,-0.000730679750832207
"0","Spatio-temporal model",0.0788771032865582,0.0520475785250902,10.534276775476,5.13217486765627,0.000675470044450661
"[3,210]","Generic PC",0.440754586896367,0.352120153667512,474.596340190844,47.2592029569531,0.334534694928241
"[3,210]","QM",0.329488140240575,0.254436616466775,151.699436055905,34.7126195482606,0.060277523930976
"[3,210]","GB LM",0.299487999038206,0.241862057105514,344.505072205187,27.9846923630112,0.110341034424065
"[3,210]","Linear model",0.274693851394196,0.226568351789898,334.210356904659,32.060132603544,-0.00826720672323377
"[3,210]","AR2 model",0.165185129931569,0.132868992354785,240.681095087901,18.6906074418301,-7.774214401536e-05
"[3,210]","AR1 model",0.153154322782731,0.122505546092748,220.254715920373,16.9634645137074,8.12101031703633e-05
"[3,210]","Spatio-temporal model",0.124613739965559,0.093591179082346,131.74705390645,13.3309430875575,-0.000828143219529726
"(210,327]","Generic PC",0.386093180321095,0.304711463721665,159.905025189046,43.4432955850977,0.28021588170821
"(210,327]","QM",0.307100198321877,0.243319511535556,74.0007708710749,35.5502763131382,-0.0273207631509072
"(210,327]","GB LM",0.26238500846832,0.208506101226429,112.576514248639,26.6026898052978,0.0705391356528551
"(210,327]","Linear model",0.246653721813228,0.201702675662171,110.692367947974,29.2183088126326,0.013032005043786
"(210,327]","AR2 model",0.158193953864742,0.126415328756159,82.4488575500728,19.0652278882229,0.00261814794022937
"(210,327]","AR1 model",0.145411501639525,0.115879441883975,75.7332370494681,16.7440392362559,0.00278792487353585
"(210,327]","Spatio-temporal model",0.121127849237093,0.0920998782661724,41.0688610499906,13.4690502182829,0.00815283706732022
"(327,725]","QM",0.34884543893744,0.28052221620222,46.8555773375472,37.9727581991446,-0.18390865471788
"(327,725]","Generic PC",0.308823990114473,0.234641105528832,55.0573060614913,28.6003771794478,0.156458209458292
"(327,725]","GB LM",0.248222624708988,0.195960119565787,39.9617330077623,24.5974577574445,-0.0363784675215679
"(327,725]","Linear model",0.231444312484877,0.183195238004576,41.1730457979693,23.1248716134362,-0.00671322573220581
"(327,725]","AR2 model",0.162645048031605,0.129132239535302,31.9767394253815,16.6395332865254,-0.00189373625720606
"(327,725]","AR1 model",0.149842783049281,0.118690542395822,30.2725454721312,14.8877728192238,-0.00217270609041006
"(327,725]","Spatio-temporal model",0.146626183505954,0.112259837539718,22.3435481285435,14.1312295299586,-0.00705784822226251
