"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"high","Generic PC",0.284823990271952,0.204856981893344,2305.32226097484,37.5336001730004,0.151809269870223
"high","QM",0.219754804636949,0.150999183623629,1342.46819271116,31.6249906029779,-0.0106087281720139
"high","GB LM",0.209773812395092,0.153706891957049,1850.41228431075,27.3101859514078,0.0253266516428667
"high","Linear model",0.193876882576746,0.141978927713439,1771.32657682002,27.2940159744761,-0.011792719357797
"high","AR2 model",0.175729360162774,0.129612057601012,1583.94060914439,24.3318341591221,0.00178474424647425
"high","AR1 model",0.175546006264507,0.129381531187983,1590.20430606588,24.5252290818763,0.00189884279629484
"high","Spatio-temporal model",0.104441619896477,0.0726167628764654,1125.20790603337,15.7936034120014,0.00223946277816887
"mid","Generic PC",0.283735807172489,0.200199333936051,668.285237358552,59.6223881852695,0.158199739813425
"mid","QM",0.193722180435914,0.130927872913005,305.274960221053,43.9027019370546,0.00557275052020185
"mid","GB LM",0.184340812072344,0.130666126065806,553.172503259889,37.2466897036923,0.0284045446372271
"mid","Linear model",0.166030286089123,0.12099711916802,628.324511115839,37.5385124714008,0.00831728508621243
"mid","AR2 model",0.148898607273379,0.107626207594783,675.547116163611,33.0818578098882,0.00314846892055156
"mid","AR1 model",0.148813516532635,0.107602046637613,680.136703203841,33.2388890410868,0.00306715142638454
"mid","Spatio-temporal model",0.0852786894979768,0.0588025947008615,363.097678572576,19.0656048287782,0.0015721115269817
