"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,10.9]","Generic PC",0.509789611411634,0.402256485892872,1434.71402755992,56.5695453416149,0.375207734819208
"[0.382,10.9]","QM",0.393680479538489,0.275319046515663,1194.83159706308,32.9914758154921,0.127527070951058
"[0.382,10.9]","GB LM",0.351835466576335,0.2573285133415,125.076030991352,31.6869942681863,0.0952680930360915
"[0.382,10.9]","Linear model",0.292917571378061,0.239078899018789,484.687085073182,34.8186790797768,-0.00310396338012803
"[0.382,10.9]","AR2 model",0.272571672313242,0.214429306577009,350.994833792308,31.0285300450806,-0.0125601465868166
"[0.382,10.9]","AR1 model",0.272497517729438,0.214504081488576,356.290727283366,31.0376180086741,-0.0125602357082938
"[0.382,10.9]","Spatio-temporal model",0.0791139836702379,0.0558300009923222,127.94571112585,9.18901192731954,0.00394538166755763
"(10.9,21.2]","Generic PC",0.432449398945405,0.313507649494943,385.356581020449,36.4502225641755,0.285112669277721
"(10.9,21.2]","QM",0.325497775923056,0.241979894088896,168.159683512786,31.9038606611337,-0.0216494723819628
"(10.9,21.2]","GB LM",0.302741446211145,0.219931162265783,208.325999902267,25.0969865733788,0.0456562184029274
"(10.9,21.2]","Linear model",0.281715825711338,0.235191451684624,306.73059913251,30.5533321594235,-0.001878905278209
"(10.9,21.2]","AR2 model",0.267455602574688,0.209054289127749,253.91843701084,24.3788734420094,0.0137072631133456
"(10.9,21.2]","AR1 model",0.26740155782379,0.209215820070628,254.947182737886,24.3311925973742,0.0137054403274745
"(10.9,21.2]","Spatio-temporal model",0.0802414796801074,0.0554938593044161,46.3188436514628,8.14934126236238,0.00309846800847796
"(21.2,34.4]","Generic PC",0.406488089088977,0.311597611763487,496.496337072047,50.4191227068739,0.261966892489222
"(21.2,34.4]","QM",0.334685560113858,0.247743956658919,171.747767990725,42.3832963670312,-0.0420719561576368
"(21.2,34.4]","Linear model",0.237587458177627,0.194096506893735,375.642676416921,30.1672365598293,-0.000732470108975099
"(21.2,34.4]","GB LM",0.237158525775116,0.169171997751592,284.938578208468,24.1378022103101,0.0362413141114981
"(21.2,34.4]","AR2 model",0.215091616977472,0.169822832194067,452.399971516752,26.6087225053888,-0.00500166201695856
"(21.2,34.4]","AR1 model",0.21475683855452,0.169710668020428,454.459524600553,26.4681189041738,-0.00503311965983761
"(21.2,34.4]","Spatio-temporal model",0.0847714256966735,0.0595349406262654,70.1424304579725,9.33791929870689,0.000818707370446745
"(34.4,212]","Generic PC",0.467194224820177,0.337882382625264,3703.20470249688,38.8119063539876,0.252956349529047
"(34.4,212]","QM",0.427453570247867,0.340320013538139,3358.54625765637,52.6975873637988,-0.0666555341382827
"(34.4,212]","GB LM",0.301162514260963,0.218410054392225,279.989916239564,27.4817505340588,0.0209059355397771
"(34.4,212]","AR1 model",0.278167158221688,0.218998598068244,1275.50282824166,29.4456164208945,0.00548460337320186
"(34.4,212]","AR2 model",0.278070923518828,0.218755782900925,1297.79228363949,29.2869797920503,0.00549009100015013
"(34.4,212]","Linear model",0.277068128012505,0.219250814491921,1759.94462041577,30.5174588077973,0.0180482132765735
"(34.4,212]","Spatio-temporal model",0.120543108899802,0.0803575958935077,345.23539975184,10.9105845684963,0.00239802574276348
