"dist_coast_g4","model","RMSE","MAE","Bias"
"[0.382,11.5]","Generic PC",0.335168500875237,0.236805198079572,0.205715440321565
"[0.382,11.5]","QM",0.233051346792032,0.149605590362879,0.0476729902667384
"[0.382,11.5]","GB LM",0.216805057794486,0.152716091361581,0.0683729878995945
"[0.382,11.5]","Linear model",0.198884185844988,0.148700209366396,0.0165918867675232
"(11.5,20.4]","Generic PC",0.297134074516733,0.216788589788929,0.18623018601295
"(11.5,20.4]","QM",0.210419948105544,0.147452704121075,0.00836607523273609
"(11.5,20.4]","GB LM",0.196967552377082,0.145535103255557,0.00771613151686639
"(11.5,20.4]","Linear model",0.189207358602448,0.144530394578887,-0.0144832139526786
"(20.4,32.4]","Generic PC",0.310695735019235,0.20776793349654,0.178753887359859
"(20.4,32.4]","QM",0.237174753462704,0.148896972721832,0.0113795770102678
"(20.4,32.4]","GB LM",0.205167527573629,0.137794431726387,0.0292144647762571
"(20.4,32.4]","Linear model",0.197625055429487,0.135824823407407,0.0130334560754423
"(32.4,212]","Generic PC",0.273809732184749,0.162194678871637,0.10634974861818
"(32.4,212]","QM",0.25822910052803,0.165641546226866,-0.0677812687386857
"(32.4,212]","GB LM",0.224027801140146,0.145994214057048,-0.0095627243577752
"(32.4,212]","Linear model",0.205363615221048,0.146814477087744,-0.0152263820856376
