"elevation_g4","model","RMSE","MAE","Bias"
"[-100,-5]","Generic PC",0.35335239701986,0.256679350146404,0.236822691064478
"[-100,-5]","QM",0.256150507442367,0.162566558110823,0.0863845462101942
"[-100,-5]","GB LM",0.217367080395822,0.151134900807376,-0.00173688474289719
"[-100,-5]","Linear model",0.193774093507014,0.143785115872276,-0.00373774011901546
"(-5,212]","Generic PC",0.329942565917004,0.227091066269156,0.197415179505856
"(-5,212]","QM",0.233654373642716,0.153627398012775,0.0219655104256084
"(-5,212]","GB LM",0.228459919945504,0.162290282841909,0.0680736663837851
"(-5,212]","Linear model",0.214291164260219,0.160246360232836,-0.00495174146967257
"(212,342]","Generic PC",0.292253756204142,0.198673194969664,0.17089923902535
"(212,342]","QM",0.211787513614696,0.142740385819395,-0.0143592772722417
"(212,342]","GB LM",0.20193595912855,0.140510966996043,0.0518002521670217
"(212,342]","Linear model",0.191726065405477,0.138246035539238,0.0226505415966713
"(342,725]","QM",0.236352089157008,0.152132061375079,-0.0976854407203259
"(342,725]","Generic PC",0.227401715885155,0.139249409937395,0.0693033838827985
"(342,725]","GB LM",0.194225482721149,0.127947408830815,-0.0205823486159661
"(342,725]","Linear model",0.190616463884618,0.133640235266322,-0.0134951533665593
