"p_group3","model","RMSE","MAE","Bias"
"high","Generic PC",0.387537547094491,0.298378312072458,0.268000726498446
"high","QM",0.303316504573795,0.228208070354477,0.0269615330180418
"high","GB LM",0.270426367577231,0.212533561229937,0.0388095750336678
"high","Linear model",0.250255069448379,0.203580526231389,-0.00869913116304793
"mid","Generic PC",0.281398666556244,0.19402925344075,0.148411761657526
"mid","QM",0.209483638823357,0.139928370562724,-0.0184096673649667
"mid","GB LM",0.188366718928347,0.130555766823409,0.0199046170473516
"mid","Linear model",0.176553415017071,0.126980629114663,0.0052577189882778
"low","Generic PC",0.156628007671076,0.0783395283766051,0.0460391176619767
"low","QM",0.124021087935184,0.053770787286174,-0.0131146404686419
"low","Linear model",0.120405561029862,0.076472562318616,0.00547085500759275
"low","GB LM",0.11622152757749,0.0630428997892434,0.00759664513856066
