"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.160546009913837,0.112833173537325,73.6223546550453,0.0584822768434474
"QM",0.137216051461911,0.0866115380145354,62.409920320673,-0.0268256554077874
"LM t model",0.131264066060646,0.0809130060905051,52.858252672581,-0.0309665314439569
"GB LM",0.131023099582414,0.0899423450285221,54.6822975577063,-0.000194382277114044
"Linear model",0.122749260804153,0.0838030877742671,53.4876882962169,0.00162978907331917
"LM bru model",0.121905576138897,0.0837674974613483,54.0534058877637,0.00174295747298752
"LM beta model",0.121469482716731,0.0836663722065988,52.7164034534304,0.00641400489594237
"LM+hour model",0.121306727883445,0.0832390813913452,53.0414281722314,0.00183033265323604
"AR2 model",0.117873577827245,0.0809830075896429,51.0311825393319,0.00166219877997638
"AR1 model",0.117824865608745,0.0809541399178934,50.9808822297262,0.00165375833379149
"ST model coarser",0.089475752229344,0.0576085112222647,36.6398824250399,0.00178829375351142
