"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.135631616883093,0.128397474249945,52.3530966750683,40.9059460920842,0.128397474249945
"GB LM",0.0451011202419031,0.0375153366742099,14.4124600578344,11.1221800415035,-0.0234744818250024
"LM t model",0.0270563983483289,0.0217582579299651,9.66280360727623,6.32373141321688,-0.0117922561528565
"LM beta model",0.0270529098048956,0.0211645993275149,12.2666645312203,5.03187802835263,0.00876611506194695
"Linear model",0.0263271096010805,0.0207498962388214,10.9939562336147,5.49630873403913,0.00197747569134597
"QM",0.0256389331950274,0.0202544883109364,9.59849998264125,5.27152969910461,0.00293460096807619
"LM bru model",0.0252788746691615,0.0202067972701525,11.1540203444366,5.10016571330209,0.00269890391287322
"LM+hour model",0.0250033869100119,0.0200182568286755,10.5801038814833,5.67803200307841,0.00262125687090086
"AR1 model",0.0160425984987211,0.0125654430820959,5.47041939051622,3.11120283554402,0.0019628662728743
"ST model coarser",NA,NA,NA,NA,NA
