"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"high","Generic PC",0.221189380822515,0.177882218370624,89.3235962936294,34.9460190921259,0.12253145461653
"high","QM",0.190976424074873,0.144617977753772,53.1097035989275,29.8781523856358,-0.0487153188338715
"high","GB LM",0.17122966629685,0.136542735191349,60.7631833592235,24.8390787374862,-0.0404993337031564
"high","LM t model",0.167937730258341,0.128136676953137,55.139087149417,25.5840590485818,-0.0430147019628023
"high","Linear model",0.162147918025969,0.128069216343654,62.1888917277919,24.2035234504406,-0.0214063335571854
"high","LM bru model",0.158018794136593,0.124113312834745,62.1553086716864,23.0426753878161,-0.02265112614828
"high","LM+hour model",0.157407362542277,0.123758700021491,60.3293172756027,23.3502611049913,-0.0229847912886599
"high","LM beta model",0.155251908176073,0.122312730202076,62.4055724140402,22.3405163260698,-0.0132546510520166
"high","AR1 model",0.149800774946747,0.119514886536792,65.7884995470702,21.8639325506613,-0.000508480196612812
"high","ST model coarser",NA,NA,154.172062931001,99.997383192531,-0.364331399687038
"mid","Generic PC",0.177045622047723,0.127841795704404,409.054495362026,58.0576014564222,0.0786783725798003
"mid","QM",0.133154152153428,0.0903854680836835,193.877262453082,48.1071030347938,-0.028444481758901
"mid","GB LM",0.12986778748319,0.0935370798913843,366.162794246372,42.8540013519272,-0.00584851483977882
"mid","LM t model",0.122088252046771,0.083830015663797,304.906388852941,40.587040128895,-0.017717585413416
"mid","Linear model",0.121556516544966,0.0875389347701926,313.017315060205,42.5001778325752,0.00111203771717789
"mid","LM bru model",0.119488114548694,0.0859290091316608,363.54404309317,41.9415938149404,0.00130411001444013
"mid","LM+hour model",0.118903466135187,0.0853364150454096,373.970738708717,41.1521853955752,0.00125101160300695
"mid","LM beta model",0.118252567060217,0.0855937984629953,416.746318379017,40.4106410958566,0.00761701099648286
"mid","AR1 model",0.113262332828156,0.0806520511365191,390.248378437425,38.6267167105565,0.000798776304467838
"mid","ST model coarser",NA,NA,1331.35872924116,100,-0.0660604860246882
"low","Generic PC",0.148146153166813,0.0929982466682258,750.843813286293,72.992700729927,0.0649150506317179
"low","QM",0.0992713139189185,0.0577991026450325,254.802298697982,67.859443718434,-0.0111025734366464
"low","GB LM",0.0947152044833168,0.0624776414528197,884.219109534235,54.4162817604097,0.0131388158601705
"low","Linear model",0.0938037165839636,0.0642231369244009,939.605114644317,61.6258478717679,0.0167813456751731
"low","LM+hour model",0.0893574015373154,0.0604636456563783,909.715176464349,59.0881802345708,0.0197076897733006
"low","LM bru model",0.0890319473052481,0.060732771348298,964.812624844233,58.8500609253904,0.0183484315962081
"low","LM t model",0.0877957023045942,0.0557383982442595,775.517856357441,53.1357215138915,0.00293004150772349
"low","LM beta model",0.0870913701244742,0.0600133791482671,1105.89901496326,54.6007472680147,0.0230579380577173
"low","AR1 model",0.0862918003968341,0.0555505434885339,676.592283650328,55.8048250232855,0.00446688809668499
"low","ST model coarser",NA,NA,6020.47129821106,100,0.0265667511658017
