"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250705.rds",14447.6862526259,-29106.5463267563,-29109.3631989774,0.59336627276804,0.591586822511798,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250705.rds",12945.6777766982,-26051.6213957196,-26047.388162355,0.530950747939342,0.527966471539356,NA,NA,NA,NA,NA
"ts_bru0_lmt_250705.rds",15012.1461508077,-30256.3179371652,-30254.7266503952,0.616713410562752,0.61411537923189,NA,NA,NA,NA,NA
"ts_bru0_ar1_250705.rds",15654.6815679922,-31745.7386244071,-31754.6253720701,0.647285739791716,0.644073211687128,NA,NA,NA,NA,NA
"ts_bru0_ar2_250705.rds",15666.7694779417,-31786.6493378394,-31795.2750061785,0.648114724056062,0.64538343904745,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250705.rds",14476.0669454348,-29165.1948352369,-29169.1625470632,0.594585198646764,0.593769967058914,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250705.rds",5775.16572284093,-12273.0160492785,-12307.9794101847,0.820415783719686,0.80284942225666,NA,NA,NA,NA,NA
"lm_model_aic0_250705.rds",NA,NA,NA,NA,NA,-28217.1060196842,-28063.0614036539,14127.5530098421,453.877869027797,0.80015405423021
"gblm_model_aic0_250705.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250705.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757383804217123
